Name,Created,Tags,Updated
Morals & role models,"January 21, 2023 12:45 PM",,"January 21, 2023 12:46 PM"
Tombstone,"December 13, 2022 10:49 AM",,"December 13, 2022 11:14 AM"
42 rules for life JBP,"November 15, 2022 8:03 AM",,"November 15, 2022 8:04 AM"
Untitled note,"September 29, 2022 10:05 AM",,"September 29, 2022 10:05 AM"
Untitled note,"May 15, 2022 11:36 AM",,"May 15, 2022 11:36 AM"
Untitled note,"May 15, 2022 11:36 AM",,"May 15, 2022 11:36 AM"
Getting Better At Being A Software Engineer,"April 21, 2022 12:20 PM",,"April 21, 2022 12:22 PM"
Gym pin,"March 14, 2022 12:51 PM",,"October 17, 2022 10:48 PM"
Philosophy Questions,"January 28, 2022 9:03 AM",,"January 29, 2022 1:24 PM"
MODERN WISDOM ANNUAL REVIEW TEMPLATE,"December 20, 2021 11:27 AM",,"December 20, 2021 11:27 AM"
Finished subtle art of not giving a f*ck(18/12/2021),"December 18, 2021 11:31 AM",,"December 18, 2021 12:00 PM"
Missing a day of habits(05/05/2021),"May 5, 2021 8:37 PM",,"May 5, 2021 9:08 PM"
Starting my journaling journey(02/05/2021),"May 2, 2021 2:32 PM",,"May 2, 2021 3:05 PM"
New Habits(01/05/2021),"May 1, 2021 9:31 PM",,"May 1, 2021 9:44 PM"
(26/03/2021),"March 26, 2021 9:23 AM",,"March 26, 2021 9:32 AM"
Goggins Challenge #1,"March 25, 2021 12:40 PM",,"March 25, 2021 12:56 PM"
(25/03/2021),"March 25, 2021 8:50 AM",,"March 25, 2021 9:22 PM"
Comparing myself to peers(21/03/2021),"March 21, 2021 8:55 PM",,"March 21, 2021 9:40 PM"
Getting overwhelmed by entertainment(14/03/2021),"March 14, 2021 6:27 PM",,"March 14, 2021 8:34 PM"
Understanding what is important(13/03/2021),"March 11, 2021 5:42 PM",,"March 13, 2021 7:59 PM"
